run,period,agent_id,choice,round_payoff,cumulative_payoff
0,0,0,74,0,0
0,0,1,67,0,0
0,0,2,3,0,0
0,0,3,28,20.0,20.0
0,0,4,78,0,0
0,1,0,7,0,0
0,1,1,60,0,0
0,1,2,72,0,0
0,1,3,28,20.0,40.0
0,1,4,71,0,0
0,2,0,46,0,0
0,2,1,100,0,0
0,2,2,91,0,0
0,2,3,28,20.0,60.0
0,2,4,24,0,0
1,0,0,14,0,0
1,0,1,63,0,0
1,0,2,90,0,0
1,0,3,37,20.0,20.0
1,0,4,59,0,0
1,1,0,62,0,0
1,1,1,95,0,0
1,1,2,37,10.0,10.0
1,1,3,37,10.0,30.0
1,1,4,44,0,0
1,2,0,30,0,0
1,2,1,18,20.0,20.0
1,2,2,37,0,10.0
1,2,3,37,0,30.0
1,2,4,83,0,0
2,0,0,57,0,0
2,0,1,82,0,0
2,0,2,48,0,0
2,0,3,17,0,0
2,0,4,28,20.0,20.0
2,1,0,11,20.0,20.0
2,1,1,18,0,0
2,1,2,8,0,0
2,1,3,37,0,0
2,1,4,28,0,20.0
2,2,0,11,0,20.0
2,2,1,43,0,0
2,2,2,15,20.0,20.0
2,2,3,85,0,0
2,2,4,28,0,20.0
